Name,ID,Nearest Town,County,URL
Rondeau,2001500,Centerville (Anoka),Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02001500
Round,2008900,Anoka,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02008900
Sand Shore,2010200,Bethel,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02010200
Sandy,2008000,Hilltop,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02008000
Skunk,2002500,Linwood,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02002500
South Coon,2004800,Lake Netta,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02004800
Spring,2007100,Spring Lake Park,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02007100
Sunrise,2077300,Blaine,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02077300
Swan,2009800,Cedar,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02009800
Unnamed,2004400,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02004400
Unnamed,2007900,Hilltop,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02007900
Unnamed,2011400,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02011400
Unnamed,2029000,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02029000
Unnamed,2032800,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02032800
Unnamed,2033800,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02033800
Unnamed,2034100,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02034100
Unnamed,2039700,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02039700
Unnamed,2042700,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02042700
Unnamed,2042900,Constance,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02042900
Unnamed,2043200,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02043200
Unnamed,2043300,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02043300
Unnamed,2047400,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02047400
Unnamed,2050400,Wyoming,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02050400
Unnamed,2052900,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02052900
Unnamed,2057900,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02057900
Unnamed,2058300,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02058300
Unnamed,2058900,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02058900
Unnamed,2059100,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02059100
Unnamed,2061500,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02061500
Unnamed,2061600,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02061600
Unnamed,2062600,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02062600
Unnamed,2064600,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02064600
Unnamed,2065400,Coon Rapids,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02065400
Unnamed,2065600,,Anoka,https://www.dnr.state.mn.us/lakefind/lake.html?id=02065600
